iter	Passed	Remaining
0	2	2261
1	4	2338
2	6	2295
3	9	2282
4	11	2258
5	13	2236
6	15	2247
7	18	2235
8	21	2334
9	23	2303
10	25	2294
11	27	2291
12	29	2268
13	32	2258
14	34	2260
15	36	2258
16	38	2254
17	41	2284
18	43	2269
19	46	2262
20	48	2260
21	50	2247
22	52	2243
23	54	2236
24	57	2228
25	59	2224
26	61	2219
27	63	2211
28	65	2209
29	68	2201
30	70	2198
31	72	2188
32	74	2189
33	76	2177
34	78	2174
35	81	2172
36	83	2170
37	85	2165
38	87	2159
39	89	2158
40	92	2156
41	94	2151
42	96	2149
43	98	2146
44	101	2145
45	103	2142
46	105	2140
47	107	2137
48	109	2134
49	112	2134
50	114	2131
51	116	2125
52	118	2122
53	121	2120
54	123	2118
55	125	2117
56	127	2111
57	129	2108
58	131	2105
59	134	2101
60	136	2096
61	138	2091
62	140	2087
63	142	2085
64	144	2084
65	147	2082
66	149	2079
67	151	2073
68	153	2073
69	156	2073
70	158	2071
71	160	2068
72	162	2063
73	164	2064
74	167	2060
75	169	2059
76	171	2055
77	173	2054
78	175	2050
79	178	2047
80	180	2042
81	182	2038
82	184	2036
83	186	2034
84	188	2032
85	190	2029
86	193	2029
87	195	2026
88	197	2023
89	199	2020
90	201	2014
91	203	2012
92	206	2011
93	208	2009
94	210	2009
95	213	2007
96	215	2002
97	217	2000
98	219	1998
99	221	1996
100	224	1994
101	226	1991
102	228	1988
103	230	1989
104	233	1989
105	235	1987
106	237	1984
107	239	1982
108	242	1979
109	244	1976
110	246	1974
111	248	1970
112	250	1968
113	252	1966
114	255	1964
115	257	1960
116	259	1958
117	261	1956
118	264	1956
119	266	1954
120	268	1950
121	270	1947
122	273	1946
123	275	1946
124	277	1944
125	280	1942
126	282	1940
127	284	1938
128	286	1937
129	289	1934
130	291	1931
131	293	1929
132	295	1926
133	297	1925
134	300	1923
135	302	1920
136	304	1917
137	306	1915
138	309	1915
139	311	1914
140	313	1912
141	316	1909
142	318	1906
143	320	1904
144	323	1906
145	325	1903
146	327	1901
147	330	1900
148	332	1897
149	334	1894
150	336	1892
151	339	1891
152	341	1890
153	343	1888
154	345	1884
155	347	1881
156	349	1879
157	352	1878
158	355	1881
159	357	1878
160	360	1877
161	362	1874
162	364	1871
163	366	1869
164	368	1866
165	370	1863
166	373	1860
167	375	1859
168	377	1856
169	379	1855
170	382	1852
171	384	1850
172	386	1848
173	388	1845
174	391	1845
175	393	1843
176	396	1841
177	398	1839
178	400	1837
179	402	1834
180	404	1832
181	407	1829
182	409	1826
183	411	1824
184	413	1822
185	415	1819
186	418	1817
187	419	1813
188	422	1810
189	424	1808
190	426	1805
191	428	1803
192	430	1800
193	432	1797
194	435	1796
195	437	1794
196	439	1792
197	442	1791
198	444	1788
199	446	1786
200	448	1783
201	451	1782
202	453	1780
203	455	1777
204	457	1775
205	459	1772
206	462	1770
207	464	1767
208	466	1765
209	468	1764
210	471	1761
211	473	1759
212	475	1758
213	477	1755
214	480	1753
215	482	1750
216	484	1749
217	486	1746
218	489	1745
219	492	1744
220	494	1742
221	496	1740
222	498	1737
223	500	1735
224	503	1733
225	505	1731
226	507	1729
227	510	1728
228	512	1726
229	515	1724
230	517	1722
231	519	1720
232	521	1717
233	523	1714
234	526	1713
235	528	1712
236	531	1710
237	533	1708
238	535	1706
239	538	1704
240	540	1702
241	542	1700
242	545	1697
243	547	1695
244	549	1692
245	551	1691
246	554	1689
247	556	1687
248	558	1685
249	560	1682
250	563	1680
251	565	1677
252	567	1675
253	569	1672
254	571	1670
255	573	1667
256	575	1665
257	578	1662
258	580	1660
259	582	1657
260	584	1655
261	587	1654
262	589	1651
263	591	1649
264	593	1646
265	595	1644
266	598	1642
267	600	1640
268	602	1637
269	604	1635
270	606	1632
271	609	1630
272	611	1627
273	613	1625
274	615	1623
275	618	1621
276	620	1619
277	623	1618
278	626	1617
279	628	1615
280	630	1612
281	632	1610
282	634	1608
283	637	1606
284	639	1603
285	641	1601
286	643	1599
287	646	1597
288	648	1594
289	650	1592
290	652	1589
291	654	1587
292	657	1585
293	659	1583
294	661	1581
295	663	1578
296	666	1576
297	668	1573
298	670	1572
299	672	1570
300	674	1567
301	677	1564
302	679	1562
303	681	1559
304	684	1559
305	686	1556
306	688	1554
307	690	1552
308	693	1551
309	696	1549
310	698	1546
311	700	1544
312	703	1544
313	706	1542
314	708	1540
315	710	1538
316	713	1536
317	715	1534
318	717	1532
319	720	1531
320	722	1529
321	726	1529
322	728	1526
323	730	1524
324	732	1522
325	735	1520
326	737	1517
327	739	1515
328	741	1513
329	744	1510
330	746	1508
331	748	1506
332	750	1503
333	752	1501
334	755	1498
335	757	1496
336	759	1494
337	761	1492
338	763	1489
339	766	1486
340	769	1486
341	771	1483
342	773	1481
343	775	1479
344	777	1476
345	779	1474
346	782	1472
347	784	1470
348	786	1467
349	788	1465
350	791	1462
351	793	1460
352	795	1458
353	797	1455
354	799	1453
355	802	1450
356	804	1448
357	806	1446
358	808	1443
359	810	1440
360	812	1439
361	815	1436
362	817	1433
363	819	1431
364	821	1429
365	824	1427
366	826	1425
367	828	1422
368	830	1420
369	833	1418
370	835	1416
371	837	1414
372	839	1411
373	842	1409
374	844	1407
375	847	1405
376	849	1403
377	851	1400
378	853	1398
379	855	1396
380	858	1394
381	860	1392
382	862	1389
383	865	1387
384	867	1385
385	869	1383
386	871	1381
387	874	1379
388	876	1376
389	878	1374
390	880	1372
391	883	1370
392	885	1368
393	888	1366
394	890	1363
395	892	1361
396	894	1358
397	896	1356
398	899	1354
399	901	1352
400	903	1349
401	905	1347
402	907	1345
403	910	1343
404	912	1340
405	914	1338
406	917	1336
407	919	1333
408	921	1331
409	923	1329
410	926	1327
411	928	1325
412	930	1323
413	933	1320
414	935	1318
415	937	1316
416	940	1314
417	942	1312
418	944	1310
419	947	1307
420	949	1306
421	951	1303
422	954	1301
423	956	1299
424	958	1297
425	961	1294
426	963	1292
427	965	1290
428	968	1288
429	970	1286
430	972	1283
431	974	1281
432	976	1278
433	978	1276
434	981	1274
435	983	1272
436	986	1270
437	988	1267
438	990	1265
439	992	1262
440	994	1260
441	996	1257
442	998	1255
443	1001	1253
444	1003	1251
445	1005	1249
446	1007	1246
447	1010	1244
448	1012	1242
449	1015	1241
450	1018	1239
451	1020	1236
452	1022	1234
453	1024	1232
454	1026	1230
455	1029	1228
456	1032	1226
457	1034	1224
458	1036	1222
459	1039	1220
460	1041	1217
461	1043	1215
462	1045	1213
463	1048	1210
464	1050	1208
465	1052	1205
466	1054	1203
467	1056	1200
468	1058	1198
469	1060	1196
470	1062	1193
471	1065	1191
472	1067	1189
473	1069	1186
474	1071	1184
475	1073	1181
476	1075	1179
477	1078	1177
478	1080	1175
479	1082	1173
480	1085	1170
481	1087	1168
482	1089	1166
483	1091	1164
484	1093	1161
485	1096	1159
486	1098	1157
487	1100	1154
488	1102	1152
489	1105	1150
490	1107	1147
491	1109	1145
492	1111	1143
493	1113	1140
